# Desktop / GUI. KDE Plasma on CachyOS.
#
# NB: this list does NOT include Plasma itself. The CachyOS KDE edition installs
# the workspace, SDDM/plasmalogin, Breeze, the portal and the core KDE apps at
# install time. Listing them here would be redundant, and `--needed` would make
# them no-ops anyway. What IS listed: the things the edition does not give you,
# plus the KDE apps actually used day to day, so a rebuild is reproducible.
#
# NB: the reason this file is short again is worth recording. It briefly carried
# a ~45-package niri + Noctalia session - compositor, shell, portals, polkit
# agent, notification daemon, screen locker, idle daemon, clipboard manager,
# GTK/Qt theming, and replacements for six KDE apps. All of that is what Plasma
# provides out of the box, and measured on this machine the whole Plasma session
# cost 0.58 GiB. See docs/SETUP-GUIDE.md Phase 4.
#id	arch	aur	nix	notes
# -- browser and terminal --------------------------------------------------
brave-origin	skip	brave-origin-bin	skip	VERIFY the AUR name on CachyOS; fallback is Brave's own installer: curl -fsS https://dl.brave.com/install.sh | FLAVOR=origin sh
plasma-browser-integration	plasma-browser-integration	skip	skip	media keys, downloads in notifications, tabs in KRunner - install the Chrome-store extension in Brave
ghostty	ghostty	skip	skip	the primary terminal; Konsole ships with the edition as a fallback
# -- KDE apps actually used ------------------------------------------------
dolphin	dolphin	skip	skip
okular	okular	skip	skip
gwenview	gwenview	skip	skip
ark	ark	skip	skip	p7zip/unrar in core.tsv are the backends
spectacle	spectacle	skip	skip
kde-gtk-config	kde-gtk-config	skip	skip	themes GTK apps from the Plasma colour scheme - see home/.chezmoiignore
# -- fonts ------------------------------------------------------------------
cascadia-code-nf	ttf-cascadia-code-nerd	skip	skip	family string is "Cascadia Code NF"; replaced Maple Mono, whose AUR package failed to install in the VM
inter-font	inter-font	skip	skip
noto-fonts	noto-fonts	skip	skip
noto-fonts-emoji	noto-fonts-emoji	skip	skip
noto-fonts-cjk	noto-fonts-cjk	skip	skip
# -- applications -----------------------------------------------------------
obs-studio	obs-studio	skip	skip
telegram-desktop	telegram-desktop	skip	skip
vesktop	skip	vesktop-bin	skip	the -bin: building vesktop from source is a 30-60min Electron build on 4C/8T
libreoffice	libreoffice-fresh	skip	skip
mpv	mpv	skip	skip
# -- hardware ---------------------------------------------------------------
intel-media-driver	intel-media-driver	skip	skip	VA-API for UHD 620; LIBVA_DRIVER_NAME=iHD is set in environment.d
libva-utils	libva-utils	skip	skip	provides `vainfo`
bluez-utils	bluez-utils	skip	skip
wl-clipboard	wl-clipboard	skip	skip	CLI clipboard access; Plasma's Klipper handles the GUI side
